edge,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_mv_fisherz_raw_v2,agreement_score
anchor_age-->mechvent_post24h,1,1,1,1,1,1,1,1,8
aki_24h_onset_stage_y-->aki_post24h_stage,1,1,1,1,1,1,1,1,8
gender-->platelet_max,1,1,1,1,1,1,1,1,8
heart_rate_max-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
bilirubin_max-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
anchor_age-->heart_rate_max,1,1,1,1,1,1,1,1,8
aki_24h_onset_stage_y-->mechvent_post24h,1,1,1,1,1,1,1,1,8
anchor_age-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
anchor_age-->bilirubin_max,1,1,1,1,1,1,1,1,8
mechvent_24h_onset-->aki_post24h_stage,1,1,1,1,1,1,1,1,8
spO2_min-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
mechvent_24h_onset-->mechvent_post24h,1,1,1,1,1,1,1,1,8
antibiotics_given-->mechvent_post24h,1,1,1,1,1,1,1,1,8
mechvent_post24h-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
vaso_given-->hospital_expire_flag,1,1,1,1,1,1,1,1,8
anchor_age-->blood_pressure_min,1,1,1,0,1,1,1,1,7
gender-->FiO2_max,0,1,1,1,0,1,1,1,6
race-->FiO2_max,1,0,1,1,1,0,1,1,6
aki_24h_onset_stage_y-->hospital_expire_flag,0,1,1,1,0,1,1,1,6
gender-->blood_pressure_min,1,1,1,0,1,1,1,0,6
inr_max-->hospital_expire_flag,0,1,1,1,0,1,1,1,6
inr_max-->aki_post24h_stage,1,1,1,0,1,1,1,0,6
blood_pressure_min-->spO2_min,1,1,0,0,1,1,1,0,5
antibiotics_given-->vaso_given,0,0,1,0,1,1,1,1,5
mechvent_24h_onset-->vaso_given,1,0,0,0,1,1,1,1,5
gender-->inr_max_missing,1,1,0,0,1,1,0,0,4
race-->platelet_max,0,0,1,1,0,0,1,1,4
inr_max-->spO2_min,0,0,0,0,1,1,1,1,4
race-->aki_24h_onset_stage_y,0,0,1,1,0,0,1,1,4
race-->FiO2_max_missing,1,1,0,0,1,1,0,0,4
mechvent_24h_onset-->FiO2_max,1,0,0,0,1,0,1,1,4
blood_pressure_min_missing-->mechvent_post24h,1,1,0,0,1,1,0,0,4
blood_pressure_min-->vaso_given,0,0,0,0,1,1,1,1,4
blood_pressure_min-->hospital_expire_flag,1,1,0,0,1,1,0,0,4
bilirubin_max_missing-->mechvent_post24h,1,1,0,0,1,1,0,0,4
bilirubin_max_missing-->hospital_expire_flag,1,1,0,0,1,1,0,0,4
bilirubin_max_missing-->aki_post24h_stage,1,1,0,0,1,1,0,0,4
mechvent_24h_onset-->inr_max_missing,1,1,0,0,1,1,0,0,4
FiO2_max-->spO2_min,0,0,0,0,1,1,1,1,4
platelet_max-->bilirubin_max,0,0,0,0,1,1,1,1,4
antibiotics_given-->FiO2_max,0,0,0,0,1,1,1,1,4
temp_max_F_missing-->blood_pressure_min_missing,1,1,0,0,1,1,0,0,4
aki_24h_onset_stage_y-->bilirubin_max,0,0,0,0,1,1,1,1,4
anchor_age-->bilirubin_max_missing,1,1,0,0,1,1,0,0,4
aki_24h_onset_stage_y-->inr_max,0,0,0,0,1,1,1,1,4
FiO2_max_missing-->mechvent_post24h,1,1,0,0,1,1,0,0,4
anchor_age-->temp_max_F,0,0,1,1,0,0,1,1,4
platelet_max-->vaso_given,0,0,0,0,1,1,1,0,3
heart_rate_max-->spO2_min,0,0,1,0,0,0,1,1,3
aki_24h_onset_stage_y-->vaso_given,0,0,0,0,0,1,1,1,3
aki_post24h_stage-->hospital_expire_flag,0,0,1,1,0,0,1,0,3
aki_post24h_stage-->mechvent_post24h,0,0,0,0,1,1,0,1,3
anchor_age-->aki_post24h_stage,0,0,1,1,0,0,1,0,3
anchor_age-->mechvent_24h_onset,0,0,1,1,0,0,1,0,3
vaso_given-->FiO2_max,0,0,0,0,1,1,0,1,3
spO2_min-->vaso_given,0,0,0,1,0,0,1,1,3
inr_max-->bilirubin_max,0,0,0,0,1,0,1,1,3
platelet_max-->heart_rate_max,0,0,0,0,1,1,0,1,3
bilirubin_max_missing-->lactate_max_missing,1,0,0,0,1,1,0,0,3
mechvent_24h_onset-->temp_max_F_missing,1,1,0,0,1,0,0,0,3
temp_max_F_missing-->FiO2_max,0,1,0,0,1,1,0,0,3
inr_max_missing-->FiO2_max,0,1,0,0,1,1,0,0,3
lactate_max_missing-->vaso_given,0,1,0,0,1,1,0,0,3
lactate_max_missing-->blood_pressure_min_missing,0,0,0,0,1,1,0,0,2
platelet_max_missing-->lactate_max_missing,1,0,0,0,1,0,0,0,2
lactate_max-->vaso_given,0,1,0,0,0,1,0,0,2
aki_24h_onset_stage_y-->blood_pressure_min,0,0,0,0,1,1,0,0,2
lactate_max-->lactate_max_missing,0,1,0,0,0,1,0,0,2
lactate_max-->inr_max,0,0,0,1,0,0,0,1,2
lactate_max-->hospital_expire_flag,1,0,0,0,1,0,0,0,2
mechvent_24h_onset-->FiO2_max_missing,0,1,0,0,0,1,0,0,2
platelet_max_missing-->inr_max_missing,0,0,0,0,1,1,0,0,2
platelet_max_missing-->bilirubin_max_missing,0,0,0,0,1,1,0,0,2
mechvent_24h_onset-->lactate_max_missing,0,0,0,0,1,1,0,0,2
FiO2_max_missing-->mechvent_24h_onset,1,0,0,0,1,0,0,0,2
vaso_given-->heart_rate_max,0,0,0,0,1,1,0,0,2
mechvent_post24h-->aki_post24h_stage,0,0,0,1,0,0,1,0,2
FiO2_max_missing-->blood_pressure_min_missing,0,0,0,0,1,1,0,0,2
platelet_max-->mechvent_post24h,0,0,1,0,0,0,1,0,2
platelet_max-->aki_post24h_stage,0,0,1,0,0,0,1,0,2
aki_24h_onset_stage_y-->blood_pressure_min_missing,0,0,0,0,1,1,0,0,2
inr_max-->lactate_max,1,0,0,0,1,0,0,0,2
race-->lactate_max,1,0,0,0,1,0,0,0,2
lactate_max-->FiO2_max,0,0,0,0,0,1,0,1,2
bilirubin_max-->lactate_max,1,0,0,0,1,0,0,0,2
bilirubin_max_missing-->FiO2_max,0,0,0,0,1,1,0,0,2
spO2_min-->heart_rate_max,0,0,0,0,1,1,0,0,2
bilirubin_max_missing-->heart_rate_max,0,0,0,0,1,1,0,0,2
bilirubin_max_missing-->inr_max,0,0,0,0,1,1,0,0,2
bilirubin_max_missing-->inr_max_missing,0,0,0,0,1,1,0,0,2
antibiotics_given-->blood_pressure_min,0,0,0,0,1,1,0,0,2
antibiotics_given-->aki_post24h_stage,0,0,1,0,0,0,1,0,2
blood_pressure_min_missing-->FiO2_max,0,0,0,0,1,1,0,0,2
blood_pressure_min_missing-->heart_rate_max,0,0,0,0,1,1,0,0,2
blood_pressure_min_missing-->spO2_min,0,0,0,0,1,1,0,0,2
anchor_age-->spO2_min,0,0,1,0,0,0,1,0,2
gender-->mechvent_24h_onset,0,0,1,0,0,0,1,0,2
heart_rate_max-->vaso_given,0,0,0,0,0,0,1,1,2
aki_24h_onset_stage_y-->spO2_min,0,0,0,0,0,0,1,1,2
inr_max-->blood_pressure_min,0,0,0,0,1,1,0,0,2
temp_max_F_missing-->lactate_max,1,0,0,0,1,0,0,0,2
antibiotics_given-->lactate_max_missing,0,0,0,0,1,1,0,0,2
temp_max_F_missing-->vaso_given,0,0,0,0,1,1,0,0,2
inr_max-->vaso_given,0,0,1,0,0,0,1,0,2
inr_max_missing-->blood_pressure_min_missing,0,0,0,0,1,1,0,0,2
race-->mechvent_24h_onset,0,0,1,0,0,0,1,0,2
race-->vaso_given,0,0,0,0,0,0,1,0,1
FiO2_max-->lactate_max_missing,0,0,0,0,1,0,0,0,1
heart_rate_max-->mechvent_post24h,0,0,0,0,0,0,1,0,1
platelet_max-->FiO2_max,0,0,0,0,0,0,1,0,1
bilirubin_max_missing-->FiO2_max_missing,0,0,0,0,0,1,0,0,1
FiO2_max-->vaso_given,0,0,0,0,0,0,1,0,1
FiO2_max_missing-->lactate_max_missing,0,0,0,0,1,0,0,0,1
aki_24h_onset_stage_y-->FiO2_max,0,0,0,0,0,0,1,0,1
aki_24h_onset_stage_y-->lactate_max,0,0,0,0,1,0,0,0,1
aki_24h_onset_stage_y-->platelet_max,0,0,0,0,0,0,1,0,1
antibiotics_given-->inr_max,0,0,0,0,0,0,1,0,1
antibiotics_given-->lactate_max,0,0,0,0,1,0,0,0,1
bilirubin_max-->aki_post24h_stage,0,0,0,0,0,0,1,0,1
bilirubin_max-->inr_max,0,0,0,0,0,1,0,0,1
bilirubin_max_missing-->lactate_max,0,0,0,0,1,0,0,0,1
mechvent_24h_onset-->inr_max,0,0,0,0,0,0,1,0,1
heart_rate_max-->platelet_max,0,0,0,0,0,0,1,0,1
inr_max_missing-->lactate_max_missing,0,0,0,0,1,0,0,0,1
lactate_max-->bilirubin_max,0,0,0,0,0,0,0,1,1
lactate_max-->bilirubin_max_missing,0,0,0,0,0,1,0,0,1
lactate_max-->heart_rate_max,0,0,0,0,1,0,0,0,1
lactate_max-->spO2_min,0,0,0,0,1,0,0,0,1
lactate_max_missing-->FiO2_max,0,0,0,0,0,1,0,0,1
lactate_max_missing-->inr_max,0,0,0,0,0,1,0,0,1
mechvent_24h_onset-->bilirubin_max,0,0,0,0,0,0,1,0,1
vaso_given-->lactate_max,0,0,0,0,1,0,0,0,1
